id,time,Location,Unit,Sub Unit,reporting_category,reporting_category_2,Class,Stage,Stone Family,book_value,stock_value,Devaluation
1,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Quartz,198712.87,22192.39665,176520.4733
2,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Beryl,33662.63,9538.140479,24124.48952
3,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Beryl,383.62,372.24,11.38
4,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Beryl,12746.81,9228.614241,3518.195759
5,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Beryl,1821.49,1821.491574,-0.001574
6,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Iolite,71.41,71.408437,0.001563
7,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,6210.37,5978.240663,232.1293365
8,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging,Zosite ,15930.83,12055.48111,3875.348891
9,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,83750.38,65040.51729,18709.86271
10,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Production Return,Zosite ,313.83,313.83292,-0.00292
11,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,3307.19,2660.787639,646.4023611
12,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,11057.75,10155.49218,902.2578224
13,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,1457.79,1457.78944,0.00056
14,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,21517.9,21517.89794,0.002064
15,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,60528.08,60528.0773,0.002702
16,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,1092.25,1092.247936,0.002064
17,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,55923.73,55923.73164,-0.00164
18,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,7439.81,7439.809176,0.000824
19,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Zosite ,64.34,64.344924,-0.004924
20,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,785.43,785.429932,6.80E-05
21,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,11635.21,3591.87045,8043.33955
22,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Chrysoberyl,4895.8,4895.7975,0.0025
23,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,82.91,82.909939,6.10E-05
24,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Beryl,1935.99,60.02069725,1875.969303
25,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Beryl,13338.9,2018.535092,11320.36491
26,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,5325.56,4962.610285,362.9497146
27,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Zosite ,220.99,220.985765,0.004235
